OrderNumber,ProductName,size,Color,Category,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount
SO43849,Sport-100 Helmet,Na,Blue,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,20.1865,20.1865,0,1.6149
SO43849,Mountain-100,44,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,2039.994,2039.994,0,163.1995
SO43849,Long-Sleeve Logo Jersey,L,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,4,28.8404,115.3616,0,9.2289
SO43849,Mountain-100,42,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,2039.994,2039.994,0,163.1995
SO43849,Sport-100 Helmet,Na,Red,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,20.1865,20.1865,0,1.6149
SO43849,Mountain-100,48,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,2,2039.994,4079.988,0,326.399
SO43849,Sport-100 Helmet,Na,Black,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,20.1865,20.1865,0,1.6149
SO43850,Road-650,58,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,419.4589,419.4589,0,33.5567
SO43850,Road-450,60,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,874.794,874.794,0,69.9835
SO43850,Road-650,62,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,419.4589,419.4589,0,33.5567
SO43850,Road-650,44,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,419.4589,838.9178,0,67.1134
SO43850,Road-150,56,Red,Bikes,3578.27,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,2146.962,2146.962,0,171.757
SO43850,LL Road Frame,44,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,3,183.9382,551.8146,0,44.1452
SO43850,LL Road Frame,60,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,183.9382,183.9382,0,14.7151
SO43850,Road-450,52,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,3,874.794,2624.382,0,209.9506
SO43850,Road-450,44,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,874.794,874.794,0,69.9835
SO43850,ML Road Frame,48,Red,Components,594.83,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,3,356.898,1070.694,0,85.6555
SO43850,LL Road Frame,52,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,178.5808,178.5808,0,14.2865
SO43851,Road-650,62,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,2,419.4589,838.9178,0,67.1134
SO43851,Road-650,60,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,419.4589,419.4589,0,33.5567
SO43851,Sport-100 Helmet,Na,Blue,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,20.1865,20.1865,0,1.6149
SO43851,Road-650,52,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,3,419.4589,1258.3767,0,100.6701
SO43851,Sport-100 Helmet,Na,Red,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,20.1865,20.1865,0,1.6149
SO43851,LL Road Frame,44,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,183.9382,183.9382,0,14.7151
SO43851,Road-450,58,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,874.794,874.794,0,69.9835
SO43851,LL Road Frame,52,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,3,178.5808,535.7424,0,42.8594
SO43851,Road-150,56,Red,Bikes,3578.27,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,2146.962,2146.962,0,171.757
SO43851,Road-650,58,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,419.4589,419.4589,0,33.5567
SO43851,AWC Logo Cap,Na,Multi,Clothing,8.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,5.1865,5.1865,0,0.4149
SO43851,Sport-100 Helmet,Na,Black,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,3,20.1865,60.5595,0,4.8448
SO43852,Mountain-100,42,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,2024.994,2024.994,0,161.9995
SO43853,Mountain-100,44,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,2024.994,4049.988,0,323.999
SO43853,Mountain-100,44,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,2039.994,2039.994,0,163.1995
SO43853,Mountain-100,38,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,2039.994,2039.994,0,163.1995
SO43853,Mountain-100,42,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,4,2024.994,8099.976,0,647.9981
SO43853,Mountain-100,38,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,2024.994,4049.988,0,323.999
SO43853,Mountain-100,48,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,3,2024.994,6074.982,0,485.9986
SO43854,Road-450,52,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,874.794,1749.588,0,139.967
SO43855,Road-650,58,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,419.4589,838.9178,0,67.1134
SO43855,Road-650,60,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,419.4589,838.9178,0,67.1134
SO43855,Road-150,56,Red,Bikes,3578.27,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,2146.962,2146.962,0,171.757
SO43855,Road-650,62,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,4,419.4589,1677.8356,0,134.2268
SO43855,LL Road Frame,52,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,178.5808,178.5808,0,14.2865
SO43855,Road-650,44,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,3,419.4589,1258.3767,0,100.6701
SO43855,ML Road Frame,48,Red,Components,594.83,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,356.898,713.796,0,57.1037
SO43855,Road-650,60,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,419.4589,419.4589,0,33.5567
SO43855,LL Road Frame,48,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,,183.9382,183.9382,0,14.7151
SO43855,Road-650,52,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,419.4589,838.9178,0,67.1134
SO43855,LL Road Frame,44,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,183.9382,183.9382,0,14.7151
SO43855,Road-450,60,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,874.794,874.794,0,69.9835
SO43855,Road-650,44,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,419.4589,838.9178,0,67.1134
SO43856,Mountain Bike Socks,M,White,Clothing,9.5,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,5.7,11.4,0,0.912
SO43856,Mountain-100,44,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,2024.994,2024.994,0,161.9995
SO43857,Road-650,60,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,419.4589,419.4589,0,33.5567
SO43857,Road-650,58,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,419.4589,419.4589,0,33.5567
SO43857,Road-650,44,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,419.4589,838.9178,0,67.1134
SO43857,Road-450,52,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,3,874.794,2624.382,0,209.9506
SO43857,Long-Sleeve Logo Jersey,L,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,28.8404,28.8404,0,2.3072
SO43857,AWC Logo Cap,Na,Multi,Clothing,8.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,3,5.1865,15.5595,0,1.2448
SO43857,Long-Sleeve Logo Jersey,XL,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,28.8404,28.8404,0,2.3072
SO43857,LL Road Frame,44,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,183.9382,183.9382,0,14.7151
SO43857,Sport-100 Helmet,Na,Blue,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,20.1865,40.373,0,3.2298
SO43857,Sport-100 Helmet,Na,Black,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,20.1865,20.1865,0,1.6149
SO43857,LL Road Frame,52,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,178.5808,357.1616,0,28.5729
SO43857,Road-650,48,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,1,419.4589,419.4589,0,33.5567
SO43857,Road-450,58,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,874.794,1749.588,0,139.967
SO43857,Sport-100 Helmet,Na,Red,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Canada,2,20.1865,40.373,0,3.2298
SO43858,Road-650,44,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,2,419.4589,838.9178,0,67.1134
SO43858,Road-650,62,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,2,419.4589,838.9178,0,67.1134
SO43858,Road-650,52,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,5,419.4589,2097.2945,0,167.7836
SO43858,Road-650,58,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,419.4589,419.4589,0,33.5567
SO43858,LL Road Frame,52,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,,178.5808,357.1616,0,28.5729
SO43858,Road-650,48,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,3,419.4589,1258.3767,0,100.6701
SO43858,Road-450,58,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,2,874.794,1749.588,0,139.967
SO43858,LL Road Frame,58,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,178.5808,178.5808,0,14.2865
SO43858,Road-150,56,Red,Bikes,3578.27,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,2,2146.962,4293.924,0,343.5139
SO43858,LL Road Frame,48,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,183.9382,183.9382,0,14.7151
SO43858,Road-650,60,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,419.4589,419.4589,0,33.5567
SO43858,LL Road Frame,60,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,183.9382,183.9382,0,14.7151
SO43858,Road-450,44,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northeast,1,874.794,874.794,0,69.9835
SO43859,Long-Sleeve Logo Jersey,L,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,1,28.8404,28.8404,0,2.3072
SO43859,Road-650,44,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,1,419.4589,419.4589,0,33.5567
SO43859,Road-450,52,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,3,874.794,2624.382,0,209.9506
SO43859,Road-650,60,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,2,419.4589,838.9178,0,67.1134
SO43860,Road-650,62,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,,419.4589,838.9178,0,67.1134
SO43860,Road-650,52,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,419.4589,419.4589,0,33.5567
SO43860,Road-450,52,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,2,874.794,1749.588,0,139.967
SO43860,Road-650,58,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,2,419.4589,838.9178,0,67.1134
SO43860,ML Road Frame,48,Red,Components,594.83,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,356.898,356.898,0,28.5518
SO43860,Road-650,44,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,419.4589,419.4589,0,33.5567
SO43860,LL Road Frame,52,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,178.5808,178.5808,0,14.2865
SO43860,Road-650,44,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,419.4589,419.4589,0,33.5567
SO43860,Road-150,56,Red,Bikes,3578.27,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,2,2146.962,4293.924,0,343.5139
SO43860,LL Road Frame,60,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,183.9382,183.9382,0,14.7151
SO43860,Road-650,48,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,419.4589,419.4589,0,33.5567
SO43860,Road-450,44,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Northwest,1,874.794,874.794,0,69.9835
SO43861,ML Road Frame,48,Red,Components,594.83,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,356.898,356.898,0,28.5518
SO43861,Road-650,52,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,3,419.4589,1258.3767,0,100.6701
SO43861,Road-650,52,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,5,419.4589,2097.2945,0,167.7836
SO43861,Road-650,44,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,419.4589,838.9178,0,67.1134
SO43861,LL Road Frame,44,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,183.9382,183.9382,0,14.7151
SO43861,Long-Sleeve Logo Jersey,L,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,9,28.8404,259.5636,0,20.7651
SO43861,Road-650,58,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,4,419.4589,1677.8356,0,134.2268
SO43861,Road-150,56,Red,Bikes,3578.27,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,2146.962,2146.962,0,171.757
SO43861,ML Road Frame,52,Red,Components,594.83,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,356.898,713.796,0,57.1037
SO43861,LL Road Frame,62,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,183.9382,367.8764,0,29.4301
SO43861,Road-650,60,Black,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,419.4589,838.9178,0,67.1134
SO43861,Sport-100 Helmet,Na,Blue,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,4,20.1865,80.746,0,6.4597
SO43861,Road-450,58,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,3,874.794,2624.382,0,209.9506
SO43861,Road-450,44,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,874.794,1749.588,0,139.967
SO43861,LL Road Frame,60,Red,Components,306.5636,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,183.9382,367.8764,0,29.4301
SO43861,Road-650,60,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,4,419.4589,1677.8356,0,134.2268
SO43861,Road-450,60,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,874.794,1749.588,0,139.967
SO43861,Long-Sleeve Logo Jersey,XL,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,6,28.8404,173.0424,0,13.8434
SO43861,Road-650,48,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,419.4589,838.9178,0,67.1134
SO43861,Road-450,52,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,874.794,1749.588,0,139.967
SO43861,AWC Logo Cap,Na,Multi,Clothing,8.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,9,5.1865,46.6785,0,3.7343
SO43861,Road-650,62,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,419.4589,838.9178,0,67.1134
SO43861,Sport-100 Helmet,Na,Red,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,4,20.1865,80.746,0,6.4597
SO43861,LL Road Frame,52,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,178.5808,178.5808,0,14.2865
SO43861,Long-Sleeve Logo Jersey,M,Multi,Clothing,48.0673,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,3,28.8404,86.5212,0,6.9217
SO43861,LL Road Frame,58,Black,Components,297.6346,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,178.5808,357.1616,0,28.5729
SO43861,Sport-100 Helmet,Na,Black,Accessories,33.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,3,20.1865,60.5595,0,4.8448
SO43862,Mountain-100,38,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,4,2039.994,8159.976,0,652.7981
SO43862,HL Mountain Frame,48,Silver,Components,1364.5,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,818.7,818.7,0,65.496
SO43862,Mountain-100,44,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,3,2024.994,6074.982,0,485.9986
SO43862,Mountain-100,44,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,4,2039.994,8159.976,0,652.7981
SO43862,HL Mountain Frame,38,Black,Components,1191.1739,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,714.7043,1429.4086,0,114.3527
SO43862,HL Mountain Frame,38,Silver,Components,1204.3248,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,722.5949,1445.1898,0,115.6152
SO43862,Mountain-100,48,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,2,2039.994,4079.988,0,326.399
SO43862,HL Mountain Frame,48,Black,Components,1349.6,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,1,809.76,809.76,0,64.7808
SO43862,Mountain Bike Socks,M,White,Clothing,9.5,2011-01-29,2011-10-02,2011-05-02,No Discount,Southeast,4,5.7,22.8,0,1.824
SO43863,Road-450,52,Red,Bikes,1457.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,1,874.794,874.794,0,69.9835
SO43863,AWC Logo Cap,Na,Multi,Clothing,8.6442,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,1,5.1865,5.1865,0,0.4149
SO43863,Road-650,60,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,1,419.4589,419.4589,0,33.5567
SO43863,Road-650,44,Red,Bikes,699.0982,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,1,419.4589,419.4589,0,33.5567
SO43864,Mountain-100,42,Silver,Bikes,3399.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,5,2039.994,10199.97,0,815.9976
SO43864,HL Mountain Frame,38,Black,Components,1191.1739,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,1,714.7043,714.7043,0,57.1763
SO43864,HL Mountain Frame,48,Silver,Components,1364.5,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,2,818.7,1637.4,0,130.992
SO43864,Mountain-100,48,Black,Bikes,3374.99,2011-01-29,2011-10-02,2011-05-02,No Discount,Southwest,2,2024.994,4049.988,0,323.999
